mass_A
t	x
0.24125	0
0.245	2.2
0.27875	3.5
0.3125	4
0.345	4.5
0.37875	4.6
0.4125	4.3
0.445	3.5
0.47875	2.7
0.5125	1.1
0.545	0
0.57875	-1.2
0.6125	-2
0.645	-2.4
0.67875	-2.5
0.7125	-2.2
0.745	-1.8
0.77875	-1
0.8125	0.1
0.845	1
0.87875	1.5
0.9125	2
0.945	2
1.0125	1.6
1.045	1.3
1.07875	0.7
1.1125	0.1
1.145	-0.2
1.17875	-0.9
1.2125	-1.3
1.245	-1.4
1.27875	-1.4
1.3125	-1.2
1.345	-0.9
1.37875	-0.2
1.4125	0.1
1.445	0.8
1.47875	1
1.5125	1.2
1.545	1.2
1.57875	1.1
1.6125	0.9
1.64125	0.6
1.67875	0.3
1.7125	0
1.77875	-0.5
1.8125	-0.6
1.845	-0.8
1.87875	-0.6
1.9125	-0.4
1.945	-0.1
1.97875	0.1
2.0125	0.4
2.045	0.7
2.07875	0.8
2.1125	0.8
2.17875	0.6
2.2125	0.4
2.245	0.2
2.27875	0.1
2.3125	0
