mass_A
t	x
0	0
0.00375	2.2
0.0375	3.5
0.07125	4
0.10375	4.5
0.1375	4.6
0.17125	4.3
0.20375	3.5
0.2375	2.7
0.27125	1.1
0.30375	0
0.3375	-1.2
0.37125	-2
0.40375	-2.4
0.4375	-2.5
0.47125	-2.2
0.50375	-1.8
0.5375	-1
0.57125	0.1
0.60375	1
0.6375	1.5
0.67125	2
0.70375	2
0.77125	1.6
0.80375	1.3
0.8375	0.7
0.87125	0.1
0.90375	-0.2
0.9375	-0.9
0.97125	-1.3
1.00375	-1.4
1.0375	-1.4
1.07125	-1.2
1.10375	-0.9
1.1375	-0.2
1.17125	0.1
1.20375	0.8
1.2375	1
1.27125	1.2
1.30375	1.2
1.3375	1.1
1.37125	0.9
1.4	0.6
1.4375	0.3
1.47125	0
1.5375	-0.5
1.57125	-0.6
1.60375	-0.8
1.6375	-0.6
1.67125	-0.4
1.70375	-0.1
1.7375	0.1
1.77125	0.4
1.80375	0.7
1.8375	0.8
1.87125	0.8
1.9375	0.6
1.97125	0.4
2.00375	0.2
2.0375	0.1
2.07125	0
