mass_A
t	y
0.000000000E0	1.099456992E-2
0.000000000E0	1.099456992E-2
0.000000000E0	1.099456992E-2
0.000000000E0	1.099456992E-2
0.000000000E0	1.099456992E-2
0.000000000E0	1.099456992E-2
0.000000000E0	1.099456992E-2
0.000000000E0	1.099456992E-2
3.332222222E-2	1.116948383E-2
6.664444444E-2	2.421536388E-2
9.996666667E-2	3.808335098E-2
1.332888889E-1	6.601190455E-2
1.666000000E-1	8.541381280E-2
1.999222222E-1	9.943200600E-2
2.332444444E-1	1.083485182E-1
2.665666667E-1	1.143617609E-1
2.998888889E-1	1.159965588E-1
3.332000000E-1	1.166072539E-1
3.665222222E-1	1.089592133E-1
3.998444444E-1	1.023258592E-1
4.331666667E-1	9.530734630E-2
4.664888889E-1	8.498628078E-2
4.998000000E-1	6.951645285E-2
5.331222222E-1	6.579107632E-2
5.664444444E-1	6.084430957E-2
5.997666667E-1	5.793162382E-2
6.330888889E-1	6.018653304E-2
6.664000000E-1	6.618094321E-2
6.997222222E-1	7.238676532E-2
7.330444444E-1	7.776577224E-2
7.663666667E-1	8.313065473E-2
7.996888889E-1	9.737909244E-2
8.330000000E-1	9.841731957E-2
8.663222222E-1	1.027675156E-1
8.996444444E-1	1.002870700E-1
9.329666667E-1	9.615299407E-2
9.662888889E-1	9.345642840E-2
9.996000000E-1	9.076927901E-2
1.032922222E0	8.869282474E-2
1.066244444E0	7.815563913E-2
1.099566667E0	7.402627129E-2
1.132888889E0	7.133912190E-2
1.166200000E0	6.885867632E-2
1.199522222E0	6.823856492E-2
1.232844444E0	7.070959422E-2
1.266166667E0	7.484837835E-2
1.299488889E0	7.856904673E-2
1.332800000E0	8.022738526E-2
1.366122222E0	8.311182216E-2
1.399444444E0	8.352522976E-2
1.432766667E0	8.310240588E-2
1.466088889E0	8.351581348E-2
1.499400000E0	8.186218309E-2
1.532722222E0	8.021796898E-2
1.566044444E0	7.772339896E-2
1.599366667E0	7.526178594E-2
1.632688889E0	7.442084632E-2
1.666000000E0	7.669458811E-2
1.699322222E0	7.834821850E-2
1.732644444E0	7.793481091E-2
1.765966667E0	7.958844130E-2
1.799288889E0	8.020855269E-2
1.832600000E0	8.104478417E-2
1.865922222E0	7.917032556E-2
1.899244444E0	8.040584021E-2
1.932566667E0	8.123736355E-2
1.965888889E0	8.062196029E-2
1.999200000E0	7.958844130E-2
2.032522222E0	7.814151470E-2
2.065844444E0	7.772810711E-2
2.099166667E0	7.648788431E-2
2.132488889E0	7.606976857E-2
2.165800000E0	7.442084632E-2
2.199122222E0	7.504566586E-2
2.232444444E0	7.691070819E-2
2.265766667E0	7.835763479E-2
2.299088889E0	7.793951905E-2
2.332400000E0	7.794422719E-2
2.365722222E0	7.794422719E-2
2.399044444E0	7.609330928E-2
2.432366667E0	7.712682828E-2
2.465688889E0	7.671342068E-2
2.499000000E0	7.566577726E-2
2.532322222E0	7.734294836E-2
2.565644444E0	7.896832990E-2
2.598966667E0	7.794422719E-2
2.632288889E0	7.546848974E-2
2.665600000E0	7.484837835E-2
2.698922222E0	7.568460983E-2
2.732244444E0	7.692483262E-2
2.765566667E0	7.652084130E-2
2.798888889E0	7.672754510E-2
2.832200000E0	7.610272556E-2
2.865522222E0	7.651613316E-2
2.898844444E0	7.610272556E-2
2.932166667E0	7.648788431E-2
2.965488889E0	7.567048540E-2
2.998800000E0	7.692012448E-2
3.032122222E0	7.711741199E-2

