mass_A
t	x
0	0.001555101
0.033284346	0.012558354
0.066568693	0.032780438
0.099853039	0.045765756
0.133137385	0.062658681
0.166421731	0.070258722
0.199706078	0.075549572
0.232990424	0.076127613
0.26627477	0.078436805
0.299559117	0.077436398
0.332843463	0.076205451
0.366127809	0.075416024
0.399412155	0.074665719
0.432696502	0.073145548
0.465980848	0.071144735
0.499265194	0.071144735
0.532549541	0.070144328
0.565833887	0.069874665
0.599118233	0.069374462
0.632402579	0.069374462
0.665686926	0.069644125
0.698971272	0.07
0.732255618	0.07
0.765539965	0.07
0.798824311	0.07
0.832108657	0.07
0.865393003	0.07
0.89867735	0.07
0.931961696	0.07
0.965246042	0.07
0.998530389	0.07
1.031814735	0.07
1.065099081	0.07
1.098383427	0.07
1.131667774	0.07
1.16495212	0.07
1.198236466	0.07
1.231520813	0.07
1.264805159	0.07
1.298089505	0.07
1.331373851	0.07
1.364658198	0.07
1.397942544	0.07
1.43122689	0.07
1.464511236	0.07
1.497795583	0.07
1.531079929	0.07
1.564364275	0.07
