mass_A
t	x
0	0
0.033284346	0.007749472
0.066568693	0.028263323
0.099853039	0.049688901
0.133137385	0.070658615
0.166421731	0.084334516
0.199706078	0.094363509
0.232990424	0.098922143
0.26627477	0.103480777
0.299559117	0.101657323
0.332843463	0.098010416
0.366127809	0.094819373
0.399412155	0.084790379
0.432696502	0.074305522
0.465980848	0.066099981
0.499265194	0.060629621
0.532549541	0.056982714
0.565833887	0.056526851
0.599118233	0.059262031
0.632402579	0.067467571
0.665686926	0.067923435
0.698971272	0.071114478
0.732255618	0.074305522
0.765539965	0.077040702
0.798824311	0.079320019
0.832108657	0.081599335
0.865393003	0.079775882
0.89867735	0.078864155
0.931961696	0.074305522
0.965246042	0.071570342
0.998530389	0.067923435
1.031814735	0.066099981
1.065099081	0.062908938
1.098383427	0.062908938
1.131667774	0.067011708
1.16495212	0.065188255
1.198236466	0.066555845
1.231520813	0.067923435
1.264805159	0.070658615
1.298089505	0.072482
1.331373851	0.074305522
1.364658198	0.074305522
1.397942544	0.072026
1.43122689	0.070202752
1.464511236	0.068379298
1.497795583	0.068835161
1.531079929	0.067923435
1.564364275	0.069746888
